,Department,CourseID,CourseName,Description,Instructors,TermsOffered,Prerequisites,Equivalent,Terms
2488,ARTH,ARTH 25885,20th Century American Drama.  ,"Beginning with O'Neill's 'Long Day's Journey into Night' through the American avant-garde to the most recent production on Broadway, this course focuses on American contemporary playwrights who have made a significant impact with regard to dramatic form in context to specific decade as well as cumulatively through the twentieth century. Textual analysis is consistently oriented towards production possibilities, both historically and hypothetically. ATTENDANCE AT FIRST CLASS SESSION IS MANDATORY.",H. Colema,N/A,N/A,"ENGL 24503, TAPS 20110",None
2489,ARTH,ARTH 26202,Latest Experiments in Architectural History.  ,"This course invites students to reflect upon the idea of modernity in architecture as it developed between 1450 and the end of the 20th century. The purpose of this course is two-fold: 1) to introduce students to selected architectural episodes across time and space; and 2) to demonstrate that modernity as a concept is deeply charged with power dynamics. Indeed, the idea of modernity systematically includes a strong delineation of its margins: the people, cultures, and places that have been portrayed as lacking the modern mind, techniques, or esthetics. In this respect, modernity and its antonyms are often inseparable, like two sides of the same coin. Throughout the quarter, we will discuss exclusionary modern visions, debunk their absolutism, and amplify the voices of those who have proposed alternative models for modernity in architecture.",N/A,N/A,N/A,ARTH 36202,None
2490,ARTH,ARTH 26367,"Objects, Place and Power.  ","Objects are not only formed and interpreted through ideas of place and power, but also shape place and identity. This course looks at how material culture has, in part, formed understandings of the Calumet. Through methods drawn from art history and museum studies, we will look closely at objects, collections, and institutions in the region to analyze the power and politics of representation in placemaking.",N/A,N/A,N/A,"PBPL 26367, HIST 27314, ENST 26367, CEGU 26367, CHST 26367",None
2491,ARTH,ARTH 26384,Art and the Archive in Greater Latin America.  ,"How and why do artists engage records of the past in their work? What are the politics of both creating archives and culling from them to visually render or represent the past? Focusing on artists, art-making, and archives in Greater Latin America (including the United States), this course will consider the process of collecting and creating in artistic production from the perspectives of both theory and practice. Students in the course will work directly with archival materials in Chicago and collaborate on contemporary artistic projects that consider issues of relevance to people and places of the Western Hemisphere.",Diana Schwartz-Francisco,Autumn,N/A,"RDIN 26384, ARTV 20017, LACS 26384, CHST 26384, HIST 26319",Autumn
2492,ARTH,ARTH 26616,Tracing Time.  ,"Tracing Time is a hybrid seminar and studio. The first portion of the course will invite students to engage with a curated selection of techniques for representing time as a broad category of concerns, containing a wide range of nuanced conceptual frameworks and constructs: subjective time, objective time, proper time, coordinate time, sidereal time, emergent time, encoding time, relativistic time, time dilation, reaction time, spacetime, etc. The second portion of the course will invite students to develop their own models, visualizations, and representations of time or temporal phenomenon as a support for considering time as a factor of change in relation to their own research or interest in a particular concern or context, or where time is bound to physical, psychological, ecological, climatic, biological, geological, economic, historical, geographic, or other entangled processes. This course requires no preparation and is therefore open to students from any discipline who share a general interest in urban design, architecture and the arts or who specifically wish to develop a deeper understanding of drawings, models, photographs, video and other graphic mediums as material supports for inquiry.",A. Schachman,Autumn,"While this class does not require prior experience, all ARCH studio courses require consent. Starting July 31, please visit arthistory.uchicago.edu/archconsent to request instructor consent for this class or other ARCH studios. (Please do not send consent requests by email.)","ARCH 26616, CHST 26616, ARTH 36616",Autumn
2493,ARTH,ARTH 26624,Ekphrasis.  ,"What happens when a text gives voice to a previously mute art work? Ekphrasis - the verbal representation of visual art - continues to be a central concern of word and image studies today. The understanding of ekphrasis as an often hostile paragone between word and image exists alongside notions of a more reciprocal model involving a dialogue or ""encounter"" between visual and verbal cultures. The affective dimension of the relationship -- ekphrastic hope, ekphrastic fear -- has also been prominent in recent scholarship, as well as attention to the ""queerness"" of ekphrasis. Drawing on literary works and theories from a range of periods and national traditions, the course will examine stations in the long history of ekphrasis. Why are certain literary genres such as the novel or the sonnet privileged sites for ekphrasis? How can art history inform our understanding of such encounters, and to what extent can we say that it is a discipline based in ekphrasis? What can we learn from current work on description, intermediality, narrative theory, and translation theory? Readings from Homer, Philostratus, Lessing, Goethe, Keats, A.W. Schlegel, Kleist, Sebald, Genette, among others.",Catriona MacLeod,Winter,N/A,"CMLT 26624, CMLT 36624, ENGL 36624, GRMN 26624, GRMN 36624, ARTH 36624, ENGL 26624",Winter
2494,ARTH,ARTH 26705,Approaches to Contemporary Chinese Art.  ,"The aim of this course is to introduce a history of contemporary art from China since the 1970s. The course begins with a brief overview of modern art activities in China during the early 20th century along with art production amidst the Cultural Revolution era (1966-1976), under Mao. The course will then focus on contemporary avant-garde movements during the 1970s and 1980s, the response to urbanization in art at the onset of the new millennium, the influence of globalization since 2000, and a new generation of young artists from China as well as Chinese diasporic artists working transnationally. Critical attention will be paid to ways in which artists respond to the obsolescence of physical environments and interactions due to major investments in robotics, AI technologies, online communication platforms, and virtual monetary exchange applications. In addition to working with important secondary texts focused on contemporary art from China, students will have the unique opportunity to examine primary documents that I have obtained during my ongoing research activities in China. These include video footage, photo documentation, archival materials, and real artworks. We will also access Gao Minglu's extensive archives of contemporary Chinese art documents.",E. Larson,Autumn,N/A,"EALC 26705, ARTH 36705, EALC 36705",Autumn
2495,ARTH,ARTH 26710,Eisenstein.  ,TBD,N/A,N/A,N/A,"FNDL 26504, ARTH 36710, CMST 26610, CMST 36610",None
2496,ARTH,ARTH 26810,Topics in Curating Indigenous Art.  ,"In twenty-first century museums, the curation of Indigenous objects brings with it many dynamically changing responsibilities and considerations, as well as ethical and legal questions that vary by region, country, and legislation. These topics are essential knowledge for students studying Indigenous art and archaeology in their curriculum and who may be considering careers in related fields. That said, even scholars who do not directly study Indigenous art may someday find themselves responsible for it, whether as a department chair or museum director, making familiarity with these issues essential preparation. Ultimately, the curation of Indigenous art is shaping the leading edge of curatorial practice in museums today-as well as popular discourse.",A. Hamilton,Winter,N/A,ARTH 36810,Winter
2497,ARTH,ARTH 26909,Realism: Art or Metaphysics?  ,"Besides its historical role as the first capital-letter avant-garde in painting and literature, Realism is making a return in many current artistic and, for that matter, cultural and journalistic contexts. But whether one examines its entanglement with reputed adversaries like Romanticism and Idealism, its origins in ancient and medieval metaphysics, or its strange side career as a label for amoral pragmatism in political theory and practice, the many-sidedness of realism makes pinning it down quite a challenge. Is there any common thread binding  Plato and Courbet, Virginia Woolf and García Marquez, Catherine Opie and Ai Weiwei? Can there be a realism of dreams and desire, such as one might find in Freud?  And is realism a revolutionary venture, or a consolidating surveillance of social types? What role do new technologies and forms of spectatorship, from oil painting to photography, the printed book to streaming media, play in its rise and evolution? Readings in art history, fiction, and philosophy will alternate with film screenings and gallery visits.","A. Pop, M. Widrich",Autumn,N/A,ARTH 36909,Autumn
2498,ARTH,ARTH 27032,"Bodies, Objects, Cognition.  ","This course explores the differences between objects and embodiment as examined in varied historical periods and artistic genres. We will probe the ontological indeterminacy of embodied beings versus machines in terms of agency, autonomy, subjectivity, and artificiality. Our main operative mode is a visual-verbal comparison and its perception. Through discussions of such visual strategies as pareidolia, abstraction, bodyscape, as well as the scientific phenomena of cloning and humanoid robotics, the course will destabilize once fundamental epistemologies to present a cognitive moment when the traditionally stable object-body dichotomy is understood anew as a dynamic site of affective, biological, representational, and mechanical relations. Visual artists, writers and critics studied will include Leonardo da Vinci, Hans Holbein, Giuseppe Arcimboldo, Wassily Kandinsky, Kazimir Malevich, Tadeusz Borowski, Stanislaw Lem, Allan Teger, Magdalena Abakanowicz, W.T.J. Mitchell and others. All readings are in English.",Bozena Shallcross,Winter,N/A,"ANTH 37032, REES 27032, REES 37032, KNOW 27032, ANTH 27032, KNOW 37032, ARTH 37032",Winter
2499,ARTH,ARTH 27314,Writing Art Criticism.  ,"This course is a practicum in writing art criticism. Unlike art historians, art critics primarily respond to the art of their time and to developments in the contemporary art world. They write reviews of Chicago exhibitions that may be on view in galleries or museums and that may focus on single artists or broad themes. Importantly, art critics often produce the very first discourse on a given art, shaping subsequent thinking and historiography. Accordingly, art criticism is a genre that requires particular skills, for example, identifying why and how artworks matter, taking a fresh look at something familiar or developing a set of ideas even if unfamiliar with a subject, expressing strong yet sound opinions, and writing in impeccable and engaging ways. 
Students will develop these skills by reading and writing art criticism. We will examine the work of modern art critics ranging from Denis Diderot to Peter Schjeldahl and of artists active as critics ranging from Donald Judd to Barbara Kruger. Class discussions will be as much about the craft of writing as about the art reviewed. We will deliberate the style and rhetoric of exhibition reviews, including details such as first and last sentences, order of paragraphs, word choices, and the like. This seminar is writing intensive with a total of six exhibition reviews, four of which will be rewritten substantially based on instructor, visitor, and peer feedback and general class discussion. Off-campus field trips also required.",C. Mehring,Autumn,N/A,"ARTV 37314, ARTV 27314, ARTH 37314",Autumn
2500,ARTH,ARTH 27316,Crafting Modernity.  ,"This course proposes that craft defined artmaking in the United States during the the period after World War I and through to the post-World War II era. For the purposes of the course, craft will be broadly understood to encompass handmade items designed for practical use as well as artworks that, through concepts, materials, and/or processes, trace their lineage to a functional and handmade past. In framing this modernist history through craft, and discussing pedagogy, practitioners, objects,and theories of making, the course positions craft as a primary propagator of modernity. Artists with diverse material practices, such as Anni Albers, Emma Amos, Ruth Asawa, Faith Ringgold, and Lenore Tawney, will be central to the discussion and will foster an assessment and interrogation of craft's role in producing and popularizing modern art more broadly. In addition to foregrounding the ubiquity of craft and its wide-reaching impacts on culture and society (including educational initiatives and programs, exhibitions and museum collections, and publications), this course will also question craft's relative absence (until recently) in narratives oftwentieth-century modernism in the United States. Furthermore, while craft has the potential to surface the classism, sexism, and media hierarchies in modern art historical discourse, the need to critically examine craft's relationship with colonialism, racism, and sexism will also be addressed",E. Warren,Winter,N/A,ARTH 37316,Winter
2501,ARTH,ARTH 27440,Buddha Then and Now: Transformations from Amaravati to Anuradhapura.  ,"The Buddhist sculptures in Amaravati are arguably the earliest to influence the early Buddhist art of the other parts of the sub-continent as well as south and southeast Asia. The course begins with the discussion of the context in which the Buddha images were made in Amaravati and the factors including Buddhist doctrinal developments that contributed to the spread of these images to various parts of Sri Lanka. Then it traces the course and function of Buddhist iconography in Sri Lanka until into the 21st century to assess the role of geopolitical factors. The positionality and portrayals of the images of Buddha are also considered and analyzed. The course traces the trajectories that transformed the image of the Buddha from a symbol of peace to jingoist assertiveness. Through the study of the images of the Buddha, the aim is to comprehend the ways Buddhism has changed over centuries from an inclusive posture which helped it sustain and spread to different parts of the world only later to become exclusionary.",Sree Padma Holt,Winter,N/A,"ARTH 37440, HIST 36704, RLST 27440, HREL 37440, SALC 27440, SALC 37440, RLVC 37440",Winter
2502,ARTH,ARTH 27450,Cities in Motion: the Architecture of Public Transit.  ,"How do you get from A to B?  Within and between today's urbanized areas, that seemingly simple question has become one of the most fraught and intractable problems. This course seeks to address questions about public transit across scales, from pedestrian and bicycle infrastructure at the level of individual intersections and blocks up to regional train networks and beyond. Like other design studio courses, the class will be project-based, and will ask students to develop a wide understanding of existing systems, but also to learn through creative design projects that expand their sense of what's possible.  After working together to understand many existing transit solutions across different scales, to come to terms with and document Chicago's transit landscape, and to dream speculatively about untested transit possibilities both low- and high-tech, students will focus on building a portfolio of creative suggestions for their respective ""clients"" (e.g., the University of Chicago, the 4th Ward Alderman). Alongside this project work, assigned readings and explorations around Chicago will immerse students in the culture and philosophy of moving people and things, across different moments past, present and future.",L. Joyner,Winter,N/A,"CEGU 27450, ENST 27450",Winter
2503,ARTH,ARTH 27490,Art as Buddhism in Ancient India: Explorations in the Stupa of Amaravati and Other Monuments.  ,"This course will examine the visual construction of early Buddhism in India, focusing in particular on stūpas and especially on the art of the great stūpa (mahachaitya) at Amarāvatī in Andhra Pradesh.  We will examine questions of Buddhology, of the diversity and range of conversations within early Buddhism, leading to the rise of the Mahāyāna, in relation to the visualization of Buddhist theory and narrative in the extensive and extraordinary decorations of the major sites.  The course will introduce those taking it to the rich visual, material and epigraphic culture of the Buddhist stūpas as well as the vibrant textual world of Indian Buddhist writing - from stories to suttas to commentaries. Students will have the opportunity to develop their own final papers in relation to this material or comparatively with other material in which they also retain an interest (not necessarily only Buddhist).",Jaś Elsner,Spring,N/A,"RLVC 37490, SALC 27490, RLST 27490, HREL 37490, SALC 37490, ARTH 37490",Spring
2504,ARTH,ARTH 27530,(Re)Producing Race and Gender through American Material Culture.  ,"This course introduces students to the role of the material world in the production and reproduction of ideologies of race, gender, and their intersections. Objects around us are imbued with meaning through their design, construction, use, and disuse. Architecture, art, photography, clothing, quilts, toys, food, and even the body have all been used to define groups of people. Combining secondary literature, theory, documentary evidence, and material culture, this course guides students as they ask questions about how ideologies of race and gender are produced, how they are both historically specific and constantly in flux, and how human interaction with the material world creates, challenges, and changes their construction. The primary course objectives are to (1) provide students with an introduction to material culture as a theory and methodology and (2) teach them how to apply it to research on ideologies of gender and race in history.",N/A,N/A,N/A,"ANTH 25214, CRES 27530, GNSE 27530, HIST 27414",None
2505,ARTH,ARTH 27611,Doubting Vision: Seeing and Believing.  ,"How do images compel beliefs, enable knowledge, or encourage experiences of doubt? This course will introduce students to a range of artworks, films and media to explore historical changes in modes of perception, attitudes and responses to visual media. While photographic images are often claimed to hold a privileged relation to what they represent, we will consider historical practices of photographic and digital trickery, as well as the ability of visual representations to conjure, deceive, and maintain illusions. The class will combine critical, historical and philosophical readings with careful analysis of artworks and films from the nineteenth-century to the present, including trompe l'oeil paintings, spirit photographs, early trick films, staged and manipulated images, and works that seek out and entertain uncertainty through technical means such as speed, slowness, blur and glitch. Through close analysis of visual media as engines of belief, we will address their role in shaping or undermining social relations, claims to knowledge, and conceptions of the world, including the capacities of photography to reveal otherwise invisible or unseen phenomena, relationships between media and evidence, and the ways in which traditions of magic have shaped experiences of the cinema.",Sophie Lynch,Spring,N/A,CMST 27610,Spring
2506,ARTH,ARTH 28003,Islamic Art: Private Collections on Public Display.  ,"In the past decade, two museums in Texas - the MFA Houston and the Dallas Museum of Art -- have suddenly emerged as major centers for Islamic art. Usually, well-developed displays of Islamic art build on sustained institutional commitment to curation over several generations. However, these Texas museums both quickly transformed their abilities to exhibit Islamic art by securing long term loans of significant private collections. With the al-Sabah Collection and the Hossein Afshar Collection, MFA Houston more than doubled its display space for Islamic art in 2023; and similarly, the Dallas Museum of Art has displayed the Keir Collection since 2014. This travelling seminar brings students to Texas for two weeks, facilitating direct study of an expansive range of Islamic arts produced from the medieval period to the present, in materials ranging from silk, parchment, ceramic, and rock crystal; to lacquer, sandstone, metal, jade, and plexiglass.  Students will learn basic classification systems for navigating the vast range of Islamic arts, and will also each select a specific work for close study. Upon return to campus, students will develop their thoughts on the object in relation to questions of collection and display. What force does a given object have in shaping, confirming, or challenging logics of collection and display? What might the same object achieve differently within the context of a different, possibly thematic, exhibition?",P. Berlekamp,Autumn,N/A,"NEHC 28003, ARTH 38003, NEHC 38003",Autumn
2507,ARTH,ARTH 28201,Art on My Mind.  ,"A critic who began as an abstract painter, bell hooks (Gloria Watkins) was also a queer woman of color and among the most penetrating cultural observers in recent US history. This course centers on the close reading of hooks' 1995 book, Art on My Mind: Visual Politics, which fearlessly and sympathetically took as its subject a perennial conundrum wherein black artists and critics' relationship to art and aesthetics threatens to be subsumed by their efforts to challenge an art world bent on marginalization and exclusion. By hooks's own account, she designed this collection of essays and interviews to continue discussions of art and aesthetics begun in earlier work-specifically, to further engage the politics of feminism in conjunction with liberatory Black struggle. The result did a great deal more than this already considerable feat of intersectional study. Art on My Mind demonstrates then-new, still-woefully-underutilized means to think about visual art, write about visual art, and create actual spaces for 'dialogue across boundaries.' Art on My Mind, then, remains a model for confronting what addles critical consideration of the work of artists and cultural producers in all groups marginalized by structures of domination. This makes it also a book about transgression, and an excellent object to debate at a moment when generative meetings across boundaries seem increasingly unlikely.",D. English,Winter,N/A,ARTH 38201,Winter
2508,ARTH,ARTH 28311,"Image, Iconoclasm, Animation.  ","This course will explore the fantasies of the animation of images both ancient and early Christian, both secular and sacred, as the backdrop to examining the phenomenon of iconoclasm as an assault on the image from pre-Christian antiquity via Byzantium to the Protestant Reformation.  It will tackle both texts and images, the archaeological context of image-assault and the conceptual (indeed theological) contexts within which such assault was both justified and condemned. These historical issues cannot be separated, in our scholarly approaches and responses, from a vibrant contemporary culture around question of virtuality, animation, image-worship and image-destruction in the current world.  The course will provide space to reflect on the problems raised by this. The course will be taught over the first four and a half weeks in the Spring Quarter on an intensive  schedule.  It will be examined on the basis of a paper, due on a subject to be agreed and on a date to be agreed at the end of the Spring quarter.",Jaś Elsner,Spring,The course will be taught over the first 4 and a half weeks in the Spring Quarter on an intensive schedule.,"RLVC 38311, MDVL 28311, RLST 28311, KNOW 38311, CLAS 35923, CLCV 25923, ARTH 38311",Spring
2509,ARTH,ARTH 28325,Art and Description in Antiquity and Byzantium.  ,"This course explores the rich tradition of ekphrasis in Greco-Roman  antiquity and Byzantium - as it ranges from vivid description in general to a specific engagement with works of art.  While the prime focus will remain on texts from Greece, Rome and Byzantium - in order to establish what might be called the ancestry of a genre in the European tradition and especially its fascinating place between pagan polytheistic and Christian writing --  there will be opportunity in the final paper to range beyond this into questions of comparative literature, art (history) writing and ekphrasis in other periods or contexts, depending on students' interests and needs. A reading knowledge of Greek in particular could not be described as a disadvantage, but the course can be taken without knowing the ancient languages.   The course will be taught over the first 4 and a half weeks in the Spring Quarter on an intensive  schedule.  It will be examined on the basis of a paper, due on a subject to be agreed and on a date to be agreed at the end of the Spring quarter.",Jaś Elsner and Karin Krause,Spring,The course will be taught over the first 4 and a half weeks in the Spring Quarter on an intensive schedule.,"RLVC 38325, CLAS 38323, MDVL 28325, CLCV 28323, ARTH 38325, RLST 28325, KNOW 38325",Spring
2510,ARTH,ARTH 28328,Africa's Byzantine Heritage: Religion and Art in Pluralistic Societies.  ,"This quarter-length course is conceived around themes and artifacts of an innovative special exhibition titled Africa & Byzantium at the Metropolitan Museum of Art that we will be visiting together (Feb. 16-18, 2024). It will be the first time a museum has showcased the important contributions of Africa's multiethnic societies to the cultural and religious life of the Christian Empire of Byzantium. In addition, the Met boasts a world-renowned permanent collection of Byzantine artifacts, several of which we will be studying as well during our field trip.
The Byzantine Empire (4th cent.-1453) encompassed large parts of the Mediterranean, the Balkans, Anatolia, and the Middle East, with North and East Africa forming part of the empire from the fourth century CE to the Islamic conquest (early 7th cent.). Under Islamic rule, the African continent's Byzantine-Christian legacy continued to be influential and has a rich afterlife to this day.
The field trip will enable students hone their competence in visual analysis through close-up study of artworks representing a range of artistic media and techniques. The classroom sessions will illuminate the historical and cultural framework in which the artifacts are situated. Africa's Byzantine heritage is an emerging field of study and in this course students who wish to pursue their own research projects will have ample opportunity to do so. Students will also attend weekly discussion sections led by the TA.",Karin Krause,Winter,"Students enrolled in this course will participate in a *mandatory* three-day field trip to the Metropolitan Museum of Art (Feb. 16–18, 2024). Travel and lodging will be fully covered through a Curricular Innovation and Undergraduate Research grant provided by the College.","CLCV 25323, RLST 28328, MDVL 28328",Winter
2511,ARTH,ARTH 28330,Art and Religion from the Roman to the Christian Worlds.  ,"This course will be an introduction to Roman and early Christian art from the early empire to late antiquity. It will explore the significance of the changes in visual production in relation to different attitudes to religion and society; its specific and conflictive historiography; the particular issues involved in the move to Christianity and a Christian visual culture. We shall veer between an empirical inductive approach, looking at lots of stuff and a more general account of theoretical overviews that have been offered for Roman and late art - overviews that have been influential in the broader historiography of art history as a discipline.",Jaś Elsner,Spring,N/A,"CLAS 38322, RLST 28330, CLCV 28322, ARTH 38330, RLVC 38330",Spring
2512,ARTH,ARTH 28424,"Displacing Caravaggio: Art, Media, and Contemporary Visual Culture.  ","Caravaggio is a central figure in the history of Italian art and in the global image of Italy. Caravaggio is also and above all a master of Baroque painting with whom we feel a particular closeness in the name of the themes and modes of his painting. We feel him as our ""contemporary"" or, maybe, thanks to his works, we are the ones who move another time and another space. This course examines the peculiar relevance of Caravaggio in contemporary visual culture. On one side, we explores the ways in which Caravaggio's techniques, themes, and iconography have been appropriated and reinterpreted in modern and contemporary art and media. On the other hand, Caravaggio's painting is observed through an ""anachronistic"" perspective, bringing forth valuable insights for critically reflecting on contemporary media practice and visual culture.",N/A,N/A,N/A,"ITAL 38424, ARTH 38424, ITAL 28424",None
2513,ARTH,ARTH 28500,History of International Cinema I: Silent Era.  ,"This course provides a survey of the history of cinema from its emergence in the mid-1890s to the transition to sound in the late 1920s. We will examine the cinema as a set of aesthetic, social, technological, national, cultural, and industrial practices as they were exercised and developed during this 30-year span. Especially important for our examination will be the exchange of film techniques, practices, and cultures in an international context. We will also pursue questions related to the historiography of the cinema, and examine early attempts to theorize and account for the cinema as an artistic and social phenomenon.",Allyson Field,Autumn,Prior or concurrent registration in CMST 10100 is required. Course is required for students majoring or minoring in Cinema and Media Studies.,"CMLT 32400, MAAD 18500, ENGL 29300, CMST 48500, MAPH 33600, ARTV 20002, ARTH 38500, CMST 28500, ENGL 48700, CMLT 22400",Autumn
2514,ARTH,ARTH 28600,History of International Cinema II: Sound Era to 1960.  ,"The center of this course is film style, from the classical scene breakdown to the introduction of deep focus, stylistic experimentation, and technical innovation (sound, wide screen, location shooting). The development of a film culture is also discussed. Texts include Thompson and Bordwell's Film History: An Introduction; and works by Bazin, Belton, Sitney, and Godard. Screenings include films by Hitchcock, Welles, Rossellini, Bresson, Ozu, Antonioni, and Renoir.",James Lastra,Winter,Prior or concurrent registration in CMST 10100 required. Required of students majoring or minoring in Cinema and Media Studies.,"CMST 28600, REES 25005, CMST 48600, MAAD 18600, CMLT 32500, CMLT 22500, ARTH 38600, MAPH 33700, ENGL 29600, ENGL 48900, ARTV 20003, REES 45005",Winter
2515,ARTH,ARTH 28607,"Art, Science, and the Environment.  ","Did human activity-from the detonation of atomic weapons to the proliferation of plastics-change the Earth and life on it? Rather than study air or water, this seminar will look at art and visual culture since 1945 to find deposits, traces, and effects of such activities.
The course will survey scholarly texts from art history as well as the histories of science and technology to pursue these and other related questions: How have historians framed developments in postwar and contemporary art in relation to concurrent developments of scientific ways of knowing and imagining the environment, broadly defined? Moreover, how has the advance of scientific knowledge beyond our planet informed visual culture? From smart devices to immersive digital art installations, what forms of techno-ecologies surround us today? Through visits to the Smart Museum of Art, as well as other campus collections, students will have the opportunity to study and write about original works of art.",T. Shabtay,Autumn,N/A,ARTH 38607,Autumn
2516,ARTH,ARTH 28610,Topics in Curating Indigenous Art.  ,"In twenty-first century museums, the curation of Indigenous objects brings with it many dynamically changing responsibilities and considerations, as well as ethical and legal questions that vary by region, country, and legislation. These topics are essential knowledge for students studying Indigenous art and archaeology in their curriculum and who may be considering careers in related fields. That said, even scholars who do not directly study Indigenous art may someday find themselves responsible for it, whether as a department chair or museum director, making familiarity with these issues essential preparation. Ultimately, the curation of Indigenous art is shaping the leading edge of curatorial practice in museums today-as well as popular discourse.",N/A,N/A,N/A,N/A,None
2517,ARTH,ARTH 28705,Christian Iconography.  ,"In Christian culture, visual images have for many centuries played a pivotal role in ritual, devotion, intellectual thought, and religious instruction. The most important aims of this course are that students understand images convey meaning in very unique ways and learn how to decode their visual messages. 
The study of iconography encompasses a variety of methods used to identify the subject matter of a pictorial image, describe its contents, and analyze its discursive strategies in view of its original cultural context. We will cover some of the most important themes visualized in the arts of Christianity by analyzing imagery spanning different periods, geographical regions, pictorial media, and artistic techniques. 
While special emphasis is placed on the intersections of art and literature, we will also examine pictorial themes that are independent of a specific textual basis. Alongside the study of Christian iconography, this course will address broader issues of visual inquiry, such as patronage, viewer response, emotions, and gender roles. 
In this course, students will acquire a 'visual literacy' that will enable them to explore all kinds of works of art fruitfully as primary sources in their own right.
Students will be examined on the basis of an essay and one oral presentation of a work of art. Active participation in the classroom discussion is also a requirement.",Karin Krause,Spring,N/A,"RLST 28705, CMLT 28705, MDVL 28705",Spring
2518,ARTH,ARTH 29001,Painting and Description in the Roman World: Philostratus' Imagines.  ,"This course explores the single most thoughtful, playful and creative text on naturalistic painting written in antiquity.  Arguably, it is the most interesting exploration of the brilliance and the problems of naturalism ever written in the Western tradition. The text uses the device of the description of paintings (known as ekphrasis) to create a cultural commentary in the third century CE on the rhetorical, religious, and educational world of its times, including athletics, mythology and sexuality. A reading knowledge of Greek could not be described as a disadvantage (!) but is not a necessary requirement.   The course will be taught over 5 weeks in the Spring Quarter on an intensive (let us hope not an excessively intensive) schedule.  Before the course begins, read the Imagines of the Elder Philostratus in the Loeb Classical Library translation (by Arthur Fairbanks, 1931, Harvard U.P., much reprinted).  This book is not exorbitantly expensive and is worth buying, as we will all need a copy throughout.",Jaś Elsner,Spring,"Before the course begins, read the Imagines of the Elder Philostratus in the Loeb Classical Library translation (by Arthur Fairbanks, 1931, Harvard U.P., much reprinted).","GNSE 39001, RLVC 39001, RLST 29001, GNSE 29001, ARTH 39001",Spring
2519,ARTH,ARTH 29303,The Art of Empire: British India.  ,"This seminar aims to teach students how to look at, think about, and engage critically with the visual culture of British India. Together, we will examine the repercussions of the Anglo-Indian colonial encounter on the disciplines of painting, decorative arts, photography, and architecture. We shall not only study the objects themselves, but interrogate the cultural, political, and intellectual circumstances under which they were produced, circulated, collected, and displayed. Finally, we will explore the legacy of the British empire today-its influence on contemporary art, the politics and practices of museum displays, repatriation debates, and beyond. For the final project, students will conceptualize their own exhibitions, selecting eight artifacts that present a broad view of the art of colonial South Asia.",Tara Kuruvilla,Spring,"Consent is required to enroll, with a focus on fit rather than prior experience. Interested students should email the instructor (Tara Kuruvilla, tkuruvilla@uchicago.edu) with a short paragraph explaining their interest in the course and any related experience or coursework. Students must attend the first class to confirm enrollment.",N/A,Spring
2520,ARTH,ARTH 29600,Doing Art History.  ,"This course has two main objectives: to explore major texts and methodological approaches within the discipline of art history and to develop art historical research and argumentation skills. The course aims to deepen your understanding of art history as a discipline and the range of analytic strategies it affords. We read a mix of classic and more recent essays that have shaped and represent the discipline, and test their wider applicability and limitations. Through this process, participants are encouraged to discover the kinds of questions that most interest them.",M. Ward,Winter,Consent Only,ARCH 29600,Winter
2521,ARTH,ARTH 29609,Realism: Art or Metaphysics?  ,"Besides its historical role as the first capital-letter avant-garde in painting and literature, Realism is making a return in many current artistic and, for that matter, cultural and journalistic contexts. But whether one examines its entanglement with reputed adversaries like Romanticism and Idealism, its origins in ancient and medieval metaphysics, or its strange side career as a label for amoral pragmatism in political theory and practice, the many-sidedness of realism makes pinning it down quite a challenge. Is there any common thread binding  Plato and Courbet, Virginia Woolf and García Marquez, Catherine Opie and Ai Weiwei? Can there be a realism of dreams and desire, such as one might find in Freud?  And is realism a revolutionary venture, or a consolidating surveillance of social types? What role do new technologies and forms of spectatorship, from oil painting to photography, the printed book to streaming media, play in its rise and evolution? Readings in art history, fiction, and philosophy will alternate with film screenings and gallery visits.",Andrei Pop and Mechtild Widrich,Autumn. Autumn,No Consent Required,"KNOW 35010, CMLT 25999, ARTH 39609, CMLT 35999, SCTH 35010, KNOW 25010, SCTH 25010",Autumn
2522,ARTH,ARTH 29700,Reading Course.  ,"This course is primarily intended for students who are majoring in art history and who can best meet program requirements by study under a faculty member's individual supervision. The subject, course of study, and requirements are arranged with the instructor.
Prerequisite(s): Consent of Instructor and Director of Undergraduate Studies
Note(s): Students are required to submit the College Reading and Research Form. Must be taken for a quality grade. With adviser's approval, students who are majoring in art history may use this course to satisfy requirements for the major, a special field, or electives. This course is also open to nonmajors with advanced standing. This course does not meet the general education requirement in the dramatic, musical, and visual arts.",N/A,N/A,Consent of Instructor and Director of Undergraduate Studies,N/A,None
2523,ARTH,ARTH 29800,Senior Thesis Workshop.  ,This workshop provides guided research on the topic of the senior thesis. Students arrange their program of study and a schedule of meetings with their assigned section leader. Required of fourth-year Art History majors who wish to pursue honors.,Staff,Autumn,Possibly required of Fourth-Year Art History Majors; consult the program requirements in the catalog and contact Art History's Director of Undergraduate Studies for more information.,N/A,Autumn
2524,ARTH,ARTH 29900,Preparation for the BA Paper.  ,This course provides guided research on the topic of the senior paper. Students arrange their program of study and a schedule of meetings with their senior paper advisor.,Staff,"Autumn,Spring,Winter",Consent of instructor and Undergraduate Program Chair,N/A,"Autumn, Spring, Winter"
